TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-03-16,CATALUNYA CENTRAL,90+,4
2020-03-16,CATALUNYA CENTRAL,60-69,19
2020-03-16,CATALUNYA CENTRAL,30-39,13
2020-03-16,CATALUNYA CENTRAL,50-59,30
2020-03-16,CATALUNYA CENTRAL,80-89,8
2020-03-16,CAMP DE TARRAGONA,40-49,4
2020-03-16,CATALUNYA CENTRAL,40-49,22
2020-03-16,CATALUNYA CENTRAL,20-29,7
2020-03-16,CATALUNYA CENTRAL,70-79,11
2020-03-16,GIRONA,60-69,11
2020-03-16,CATALUNYA CENTRAL,10-19,3
2020-03-16,GIRONA,40-49,16
2020-03-16,GIRONA,30-39,12
2020-03-16,GIRONA,70-79,7
2020-03-16,GIRONA,20-29,6
2020-03-16,GIRONA,50-59,22
2020-03-16,GIRONA,80-89,4
2020-03-16,CAMP DE TARRAGONA,80-89,1
2020-03-16,CAMP DE TARRAGONA,50-59,6
2020-03-16,ALT PIRINEU I ARAN,40-49,2
2020-03-16,ALT PIRINEU I ARAN,50-59,1
2020-03-16,BARCELONA CIUTAT,10-19,1
2020-03-16,BARCELONA CIUTAT,20-29,33
2020-03-16,BARCELONA CIUTAT,60-69,73
2020-03-16,BARCELONA CIUTAT,40-49,77
2020-03-16,BARCELONA CIUTAT,80-89,35
2020-03-16,BARCELONA CIUTAT,70-79,42
2020-03-16,BARCELONA CIUTAT,50-59,91
2020-03-16,BARCELONA CIUTAT,90+,20
2020-03-16,CAMP DE TARRAGONA,60-69,2
2020-03-16,CAMP DE TARRAGONA,20-29,1
2020-03-16,CAMP DE TARRAGONA,70-79,4
2020-03-16,BARCELONA CIUTAT,30-39,59
2020-03-16,METROPOLITANA SUD,70-79,39
2020-03-16,LLEIDA,0-9,1
2020-03-16,METROPOLITANA NORD,30-39,42
2020-03-16,METROPOLITANA NORD,60-69,57
2020-03-16,METROPOLITANA SUD,50-59,70
2020-03-16,METROPOLITANA SUD,90+,4
2020-03-16,METROPOLITANA SUD,40-49,72
2020-03-16,METROPOLITANA SUD,80-89,26
2020-03-16,METROPOLITANA SUD,20-29,16
2020-03-16,METROPOLITANA SUD,0-9,1
2020-03-16,METROPOLITANA SUD,30-39,35
2020-03-16,METROPOLITANA NORD,50-59,88
2020-03-16,METROPOLITANA SUD,60-69,51
2020-03-16,TERRES DE L'EBRE,40-49,1
2020-03-16,TERRES DE L'EBRE,50-59,2
2020-03-16,TERRES DE L'EBRE,20-29,1
2020-03-16,TERRES DE L'EBRE,70-79,1
2020-03-16,TERRES DE L'EBRE,80-89,2
2020-03-16,LLEIDA,60-69,7
2020-03-16,METROPOLITANA NORD,20-29,13
2020-03-16,METROPOLITANA NORD,10-19,1
